codigo_municipio_4d,Departamento,Municipio,maga_department,maga_municipality,mapped_area_ha,agricultural_land_ha,maize_bean_ha,A,total,agricultural_share_pct,agricultural_land_share_of_mapped_pct,maize_bean_share_of_agricultural_land_pct,ag_workers_per_100_agricultural_ha,historical_mean_may_aug_mm,historical_sd_may_aug_mm,rain_2026_may_aug_mm,rainfall_z_score_vs_1981_2025,z_2015_common,z_2026_common,impact_composite,impact_composite_2015
0307,Sacatepéquez,San Bartolomé Milpas Altas,Sacatepéquez,San Bartolomé Milpas Altas,799.9999999206066,313.988949979136,115.184150020723,288,3463,8.31648859370488,39.248618751287104,36.684141282161924,91.72297305976439,719.6066482916153,146.39322856487334,341.8040888034924,-2.580737942538796,-1.266179139182951,-2.580737942538796,236.71295677779776,116.13771507211348
0709,Sololá,San Andrés Semetabaj,Sololá,San Andrés Semetabaj,5298.93186224672,1993.202783379378,1181.197950142664,1730,4804,36.01165695253955,37.61518047779293,59.26130346557116,86.7949821476202,747.6849343704423,150.72352112651757,357.4007553117545,-2.589404600832558,-1.535062123106982,-2.589404600832558,224.74732610222748,133.23568957055846
1203,San Marcos,San Antonio Sacatepéquez,San Marcos,San Antonio Sacatepéquez,4728.254468276581,2345.109555778036,445.122461403461,2476,5174,47.85465790490916,49.59778648784979,18.980881311354466,105.5814212986113,903.2722328967008,144.46166888061038,597.6593854273333,-2.115528983137663,-1.178788667168242,-2.115528983137663,223.36055683808038,124.45818289031865
1227,San Marcos,Esquipulas Palo Gordo,San Marcos,Esquipulas Palo Gordo,5049.111843485,1005.5610528864454,707.480500054828,1084,3631,29.854034701184247,19.915602665525167,70.35679216334181,107.80051563138777,1310.3300155819998,231.357394783401,831.1233774528532,-2.071282997363384,-1.0009208245139851,-2.071282997363384,223.2853751342992,107.89978098880138
0808,Totonicapán,San Bartolo Aguas Calientes,Totonicapán,San Bartolo,5630.990350970872,686.796833913603,608.032060908894,892,2821,31.619992910315492,12.19673256579437,88.53157598938242,129.87829237899646,512.8707543919937,111.10992944588682,322.91190677274034,-1.7096478106555533,-1.2588582749767372,-1.7096478106555533,222.04613821743314,163.4983631011478
1009,Suchitepéquez,San Pablo Jocopilas,Suchitepéquez,San Pablo Jocopilas,2611.9780035351523,2406.13632272957,1.70617413772,1919,6994,27.437803831855877,92.1193179832683,0.07090928812314679,79.75441714886077,1812.852720916473,337.1960968303216,883.2202658122195,-2.7569490389802707,-1.6312080342739343,-2.7569490389802707,219.8788637129833,130.09604602205653
1416,Quiché,Sacapulas,Quiché,Sacapulas,36783.99999978372,9346.558898163607,5334.09576676972,9543,17285,55.20971940989297,25.409305399680733,57.0701562456077,102.10174786225323,689.3977154822514,149.54593899636225,370.9133035082243,-2.129676098939566,-1.8819668177901816,-2.129676098939566,217.44365208219466,192.1521015151402
0907,Quetzaltenango,Cajolá,Quetzaltenango,Cajolá,2053.496320657467,819.0150521725983,720.0969909046082,746,2712,27.507374631268437,39.88393083219037,87.92231461368256,91.08501706056421,708.648964604125,122.25432925685584,417.4783517626513,-2.3816793614705083,-1.2442858291209786,-2.3816793614705083,216.93530527233492,113.33579597370263
0312,Sacatepéquez,Ciudad Vieja,Sacatepéquez,Ciudad Vieja,3599.999999855431,2578.203168197389,716.044077515043,1932,14312,13.49916154276132,71.61675467502569,27.77298881436415,74.93590977745959,793.8592450768402,147.458611349329,374.00699353724,-2.84725488527063,-1.0134801630986012,-2.84725488527063,213.36163519607098,75.9460580632018
0314,Sacatepéquez,Alotenango,Sacatepéquez,Alotenango,9000.000000680115,3780.9302302556644,369.95052488253697,2960,8880,33.333333333333336,42.010335888554955,9.784642993994659,78.28761230010443,1292.4140039749363,225.18995712839185,679.6412929912086,-2.7211369405535075,-1.0301364646990636,-2.7211369405535075,213.0313138175453,80.6469241645605
